pha_code,pha_name,poor_health_pct,ed_asr_per_100k
20228,Benalla Region/ Wangaratta Region,13.792376529859679,38573.90485465987
20229,Rutherglen,15.414573997422055,68237.45586679947
20230,Wangaratta,16.953668766766363,54167.5314907981
20231,Beechworth/ Chiltern - Indigo Valley,14.197281031972715,39818.61442789957
20232,Bright - Mount Beauty/ Towong,13.55028710506545,22669.934009662087
20233,Myrtleford,14.863977957468006,27765.141336805096
20234,West Wodonga/ Wodonga,18.37381604195722,51350.141142087065
20235,Yackandandah,13.589639719127078,37838.438431734845
20236,Drouin,17.3686038731259,33063.185582042126
20237,Mount Baw Baw Region/ Trafalgar (Vic.)/ Warragul,15.192586702951694,32144.82036179216
20238,Alps - East/ Bruthen - Omeo/ Orbost/ Paynesville,14.375734580508723,37067.39698352688
20239,Bairnsdale/ Lake King/ Lakes Entrance,16.422435128719663,44437.97646237278
20240,Foster/ Korumburra/ Leongatha/ Wilsons Promontory,14.759650779330885,20721.497255871767
20242,Phillip Island,14.613471756580873,23416.352383983183
20243,Wonthaggi - Inverloch,14.983056550905006,42688.09551723846
20244,Churchill,16.97375919236748,37159.61810410032
20245,Moe - Newborough/ Morwell,19.460424715069784,44776.89666695323
20246,Traralgon/ Yallourn North - Glengarry,16.268938333981172,39673.06037611008
20247,Alps - West/ Maffra/ Rosedale,15.825839206001616,36174.561089848066
20248,Longford - Loch Sport/ Yarram,13.843427092530133,34614.790325429094
20249,Sale,16.881128175975213,49215.223953098925
20250,Ararat Region,14.406771968886867,15991.507481819428
20251,Ararat/ St Arnaud/ Stawell,15.35675602765334,11548.438233662673
20252,Horsham,16.78566519595939,55300.00233053462
20253,Horsham Region,13.398991197793368,41090.76814538112
20254,Nhill Region/ West Wimmera/ Yarriambiack,14.479726167109767,27796.741648600124
20255,Irymple/ Mildura Region,14.479683669564176,29720.43144921055
20256,Merbein,17.813685206595206,41878.001374926076
20257,Mildura,18.64536973082308,47569.88937072794
20258,Red Cliffs,17.98591558978121,45191.59447429694
20259,Buloke/ Gannawarra/ Kerang,14.806590056689902,28112.680927766556
20260,Robinvale,13.386705905953912,29312.00516329401
20261,Swan Hill/ Swan Hill Region,15.898382468387469,72327.9550516803
20262,Echuca/ Lockington - Gunbower,16.30028937326025,63886.93224332157
20263,Kyabram/ Rochester/ Rushworth,16.47412664227727,38681.47822789841
20264,Cobram/ Numurkah,16.414046917362548,31976.041812334668
20265,Moira/ Yarrawonga,14.789688358198344,23230.96930264184
20266,Kialla/ Mooroopna/ Shepparton - South East,18.626654470870527,24047.188349376775
20267,Shepparton - North/ Shepparton Region - West,16.735733180875282,65577.8841328326
20268,Shepparton Region - East,15.925206377522189,35233.8775006726
20269,Glenelg (Vic.)/ Portland,15.569151697722097,12425.77077147013
20270,Hamilton (Vic.)/ Southern Grampians,15.330001122156718,51446.77824811686
20271,Camperdown/ Corangamite - North,14.81279708034249,19793.632306504045
20272,Colac,15.899398842217382,5833.293675698587
20273,Colac Region/ Corangamite – South / Otway ,14.507761010836697,13713.245208974336
20274,Moyne – East/ Moyne – West,15.655277518649577,29747.836195934593
20275,Warrnambool - North/ Warrnambool - South,15.95059638679481,38342.81451843834
20301,Barwon - West,14.81750391180075,16417.63174222616
20302,Geelong,15.33720646864,22109.64666229104
